word,frequency
nvdurgaaa,412
naak,2777
bhktpur,3616
jillaako,58210
prsiddh,9399
likchvikaalin,43
ngaalaakau,84
maachaa,2644
smaatne,115
maaghe,837
snkraantiko,24
bholipltdekhi,32
aasaadh,493
krisn,3423
astmismm,19
lgaaataar,765
ch,327413
mhinaa,3585
prdrshn,1332
garinch,27731
.,1530584
raajaa,36609
aannddevle,30
shrlaai,311
raajdhaani,11423
shrkaa,91
rupmaa,80491
prtisthaa,508
gardaa,17180
sdaakaal,43
shtru,1042
daivi,221
viptti,35
aadi,34345
anistkaari,12
ttvbaat,12
rksaarth,439
evn,19728
sukh,1200
shaanti,4092
smriddhi,304
prdaan,9548
garne,61080
shktishit,12
taantrik,353
devdevihrukaa,59
saath,18359
ganko,38
snykaalnmaa,762
lyaaeko,1090
kimvdnti,527
yo,183885
praarmbhkaaldekhi,12
gaaathaa,432
vnmaalaa,24
jaatile,1957
gardai,13446
aaeko,14436
raati,1019
tntrvidhidvaaraa,12
astmaatrikaakaa,12
devdevilaai,12
aahrivaan,696
gari,44879
shvet,930
bhairvle,148
surymdhiko,12
vaakupti,12
naaraaynko,263
mndirmaa,3602
rheko,101677
murtilaai,230
vidhivt,777
pujaaarknaa,120
garepchi,4884
saarvjnik,3289
prdrshnmaa,25
lyaaune,1089
prmpraa,5802
vidhibaat,69
prdrshni,84
hune,31390
aun,499
shtaabdimaa,2601
praadurbhaav,588
bheko,113463
ho,225272
ttkaalin,6353
bhuvn,463
mllko,1385
raajykaalmaa,560
naal,59242
snvt,2595
tir,8085
deshmaa,8963
anikaal,236
preko,6587
hundaa,7365
shkaal,41
lyaaun,458
unle,40141
naakko,264
praarmbh,2609
gareko,40283
vnshaavlimaa,822
ullekh,13606
mhisaasursngako,12
sngaraammaa,181
daity,92
snhaar,678
garn,59955
nvdurgaaale,29
nau,3292
prkaarkaa,4546
bhinnbhinn,12
rup,11787
dhaarn,1631
kthaa,5538
praakinkaaldekhi,572
nai,62138
devgan,36
privaarmaa,1968
sifodyo,12
bhairv,547
mhaakaali,2743
vaaraahi,299
brhmaayni,38
mheshvri,128
kumaari,818
vaisnvi,40
indraayni,332
ganesh,4574
mhaadev,2676
shvetbhairv,12
simbah,24
humbah,24
khinbaajaa,12
tah,12
baajaa,1924
kaamnbaajaa,12
mhaapaatr,12
nkin,24
smmilit,1295
hunchn,11566
ys,147377
bhne,67275
dumbah,12
r,669261
siti,12
bhaildyau,12
maatr,31244
prkln,4478
prdrshnikaa,12
krmmaa,9103
devgankaa,12
nkinle,12
bihaanpkh,12
vidhipurvk,650
nitypujaa,12
ganeshle,38
nrity,1239
